pgs_id,pc1,pc2,pc3
PGS000001,0.06242688779311146,-0.38798083772876507,0.06234132116842859
PGS000002,-0.05577919611301426,-0.06947759620091355,0.02784163430790011
PGS000003,0.0014242979211309616,-0.28783852473716554,0.06323594181454943
PGS000004,-0.3988425213864496,0.3322688265949463,0.028834196938491017
PGS000005,-0.4046524317630498,0.2881519188252144,0.08995531323868028
PGS000006,-0.38469014014329966,0.3207387343652608,0.06656454887772648
PGS000007,-0.5125411918577694,0.4473609403297504,-0.07441863441617462
PGS000008,-0.5114615608370155,0.397835827397021,-0.03093727378650154
PGS000009,-0.48875120484158063,0.48290817212437415,-0.12342845981096168
PGS000015,1.7421394600526658,-3.2742713962764642,0.7061826556436435
PGS000028,1.5845758787873143,-3.279476523943862,0.45375166558571695
PGS000029,1.290876786001777,-2.8419246869981483,0.3783026748672173
PGS000045,-0.31368053329141204,0.2834249967287877,0.004982478706604282
PGS000046,-0.3161651858025319,0.24931294491356945,0.07868210371505856
PGS000047,-0.20821195282218022,0.26083124492621906,-0.0443262364218819
PGS000050,1.5899911781932137,-3.4223375863264605,0.37009433854103757
PGS000051,1.5766245688458764,-3.4236989463823453,0.38456729849301996
PGS000052,-0.1317399570392206,-0.0955737473875912,0.058444646905934386
PGS000072,1.919203612921666,-3.2329265741417466,0.46109788928159734
PGS000153,2.9102678752614413,-3.0417541339583587,-0.267272896972009
PGS000212,-0.3608440629555821,0.31806164836564416,0.08595225556774898
PGS000213,-0.42407130545425725,0.36820424116590544,0.09976803824237662
PGS000214,-0.34957333497157395,0.21021668222352874,0.14741938552867054
PGS000215,-0.49047651252667573,0.35874277157756224,0.24432885443835337
PGS000216,-0.6087380788502483,0.4257349521272571,0.33513452299997876
PGS000317,1.558686797998651,-3.287984488514563,0.40243310920976133
PGS000332,-0.9397541091958916,2.116118417529203,-2.255788755869907
PGS000335,-0.5367176061878117,0.674374344465489,-0.5093789045168855
PGS000344,-0.33364039088714853,0.21216839044299796,0.02933971796603091
PGS000345,-0.2918023660096768,0.11851674177424809,0.04044742176149847
PGS000346,-0.2506368156679968,0.19647365512581927,-0.02719661055510548
PGS000347,-0.3286261134420004,0.16335735645051722,0.07913095357946677
PGS000472,0.07339397448030426,-0.6853622500139102,-0.05654969818211413
PGS000473,-0.5209494312479237,0.6699681103338392,-0.5482151643148526
PGS000474,0.00210185437362633,-0.540354289113337,-0.07589141147717587
PGS000475,-0.27971794676211126,0.04703558683406631,-0.15561607277056402
PGS000476,-0.1962364987046388,-0.11132581027389675,-0.1438046236050037
PGS000477,-0.5226621420391764,0.6721844659300388,-0.546672956795086
PGS000478,-0.12065671886787512,-0.27278678224562,-0.11718742787154927
PGS000479,-0.12955279782258816,-0.2760699309153011,-0.12112798780204978
PGS000480,-0.056857299250021316,-0.4016167851729764,-0.09968134956471411
PGS000481,-0.523124227488558,0.671940165719932,-0.5473792459157719
PGS000482,-0.3401652974529994,0.1866665083862153,-0.19322968093004628
PGS000483,-0.19458595660536684,-0.13959597596011988,-0.1416301689147963
PGS000484,0.8270764232354222,-2.262376028633557,0.18568859417976738
PGS000485,1.6657607598961335,-3.384471700639124,0.37565905117197296
PGS000486,1.656921522833483,-3.3861192550811,0.3833905357979455
PGS000487,1.6657607598961335,-3.384471700639124,0.37565905117197296
PGS000488,1.655290915850949,-3.389683205302617,0.37568741429895736
PGS000489,-0.33503719652753633,0.3991467779741844,0.006432200795302785
PGS000490,-0.33503719652753633,0.3991467779741844,0.006432200795302785
PGS000491,-0.5121977105452271,0.6513679339348964,-0.535600624573318
PGS000492,-0.511173665904493,0.649184304273013,-0.5347692685458
PGS000493,-0.20684185889468298,0.04710238967743132,0.1724762630925755
PGS000494,-0.33503719652753633,0.3991467779741844,0.006432200795302785
PGS000495,-0.16670416806070745,-0.2014085178397583,-0.1315113471772378
PGS000496,-0.20360962070097113,-0.11751965566481656,-0.14074168313689073
PGS000497,-0.2383625399812569,0.13088707040676784,0.0939889668116507
PGS000498,-0.2383625399812569,0.13088707040676784,0.0939889668116507
PGS000499,-0.5373908844753453,0.676896466370232,-0.49661185682285763
PGS000500,-0.5391635222639641,0.676459624008518,-0.49646601691121905
PGS000501,-0.45329567060583503,0.3579076909468179,0.37686937788117003
PGS000502,-0.3603135511247174,0.18092404427974534,0.22416756957550574
PGS000503,-0.49130456843399617,0.459237823685515,-0.18607036170374838
PGS000504,-0.4770788774990422,0.4842464314078199,-0.14202536424104137
PGS000505,-0.2607873230112865,0.13639633396571005,0.06278874785917696
PGS000506,-0.2607873230112865,0.13639633396571005,0.06278874785917696
PGS000507,-0.5343146956846463,0.6720257771786095,-0.5180989320539517
PGS000508,-0.5367655544181233,0.6813937979175527,-0.5193691442354461
PGS000509,-0.48566067156539106,0.5654793319202892,0.11003535883371623
PGS000510,-0.45428293536111525,0.4860795580980157,0.06008926256951684
PGS000511,-0.5363808219714221,0.5775772349824134,-0.23260292920083153
PGS000512,-0.5062796180350913,0.5704994930139469,-0.20017444888564206
PGS000513,0.028154550144799582,-0.13243576812376232,0.12176738444113148
PGS000514,-0.5238793611449366,0.6737504560600519,-0.5496193726576806
PGS000515,-0.1371534507580966,0.14591496426530987,0.07486315289505749
PGS000516,-0.2537989503638744,-0.021030831631100744,-0.15695293514917988
PGS000517,0.0976764133237001,-0.27026174649262147,0.04883693858600415
PGS000518,0.0976764133237001,-0.27026174649262147,0.04883693858600415
PGS000519,-0.5242796974328227,0.6728096296185694,-0.5451333745902744
PGS000520,-0.5257846881417437,0.6756577578333823,-0.5454863109721017
