pgs_id,n_snps,mean_weight,std_weight,sum_abs_weight,max_weight,min_weight,pos_ratio,neg_ratio
PGS000001,77,0.023460499151353748,0.09369822355593484,6.206063916484773,0.3098348770929142,-0.1551344969499907,0.6103896103896104,0.38961038961038963
PGS000002,77,0.024614776269837112,0.10537452637327033,6.623122528758167,0.4108505803845022,-0.1631073378701503,0.5714285714285714,0.42857142857142855
PGS000003,77,0.017501287787812448,0.0877838060960492,5.093480515719412,0.3797369595354331,-0.1766178538772766,0.5974025974025974,0.4025974025974026
PGS000004,313,0.0038910543130990416,0.07132802149567465,18.9781,0.2687,-0.2609,0.5143769968051118,0.48562300319488816
PGS000005,313,0.003975399361022362,0.07627488413993924,19.709699999999998,0.2812,-0.327,0.5207667731629393,0.4792332268370607
PGS000006,313,0.0030923322683706067,0.07155908670277589,17.5841,0.4284,-0.2988,0.5175718849840255,0.48242811501597443
PGS000007,3820,-8.16753926701571e-05,0.014181618657432058,32.9518,0.1809,-0.1732,0.4431937172774869,0.456020942408377
PGS000008,3820,1.2905759162303668e-05,0.01488732749572372,34.801100000000005,0.1811,-0.2172,0.4963350785340314,0.4963350785340314
PGS000009,3820,-0.00033850785340314133,0.014509769401673908,36.3859,0.2064,-0.1118,0.4861256544502618,0.5078534031413613
PGS000015,5218,0.07543114220006114,0.061636883714620894,393.59969999991904,1.146,0.0216999999986,1.0,0.0
PGS000028,86,0.1082745357548913,0.07906299133078738,9.435360882356827,0.5128236264286637,-0.0618754037180875,0.9883720930232558,0.011627906976744186
PGS000029,76,0.07346958160858802,0.0720649578899371,6.078075863542223,0.3148107398400336,-0.0725706928348353,0.9210526315789473,0.06578947368421052
PGS000045,88,0.011136363636363637,0.09674509483757104,7.459999999999999,0.24,-0.22,0.5227272727272727,0.4772727272727273
PGS000046,87,0.013218390804597703,0.10625216006421052,7.989999999999999,0.29,-0.3,0.5287356321839081,0.47126436781609193
PGS000047,53,0.020188679245283017,0.10925430049690589,5.07,0.36,-0.14,0.5283018867924528,0.4716981132075472
PGS000050,44,0.08579545454545455,0.04763113089168828,3.775,0.249,0.038,1.0,0.0
PGS000051,67,0.08628358208955224,0.046902802775381565,5.781,0.231,0.02,1.0,0.0
PGS000052,161,0.015655534801242238,0.08382736372296273,11.306156051,0.300104592,-0.210721031,0.5714285714285714,0.42857142857142855
PGS000072,187,0.11292406242861286,0.1695573440171013,21.116799674150606,1.3480731482996928,0.0295588022415444,1.0,0.0
PGS000153,66,1.0131617476060606,0.06660873968837834,66.868675342,1.261608255,0.903964777,1.0,0.0
PGS000212,330,0.006454545454545454,0.08890676476636258,22.53,0.42,-0.31,0.5181818181818182,0.47878787878787876
PGS000213,330,0.007288728896969696,0.07979863528002311,19.748830368,0.396161128,-0.347236942,0.5121212121212121,0.48787878787878786
PGS000214,330,0.00861143920909091,0.08757768233003067,21.336370127,0.391233581,-0.371245241,0.5333333333333333,0.4666666666666667
PGS000215,330,0.006201824333333336,0.08964649172077917,21.120011552,0.462905377,-0.522065582,0.5151515151515151,0.48484848484848486
