join_id,z1_x,z2_x,z3_x,z1_y,z2_y,z3_y
PGS000535,0.030570928,-0.32287347,-1.3858656,0.030570928,-0.32287347,-1.3858656
PGS000536,0.034321997,-0.32394204,-1.3879334,0.034321997,-0.32394204,-1.3879334
PGS000537,0.5995825,0.4752914,-0.044205382,0.5995825,0.4752914,-0.044205382
PGS000538,-0.009081867,0.5613466,0.24183224,-0.009081867,0.5613466,0.24183224
PGS000539,0.34587744,-0.00066642463,-0.26196724,0.34587744,-0.00066642463,-0.26196724
PGS000540,0.3135355,0.018145323,-0.22889967,0.3135355,0.018145323,-0.22889967
PGS000773,-3.367973,-0.013646722,0.02459298,-3.367973,-0.013646722,0.02459298
PGS000774,-3.1540725,0.048772246,0.033074185,-3.1540725,0.048772246,0.033074185
PGS000775,-3.0520024,0.06498018,-0.0039318055,-3.0520024,0.06498018,-0.0039318055
PGS000783,-11.57617,-2.7144928,18.449867,-11.57617,-2.7144928,18.449867
PGS000873,0.27557924,0.38348585,0.014490351,0.27557924,0.38348585,0.014490351
PGS001336,0.27051732,0.16880637,-0.14017928,0.27051732,0.16880637,-0.14017928
PGS001337,0.4640473,-0.00022234023,-0.2813102,0.4640473,-0.00022234023,-0.2813102
PGS001778,-1.5021976,0.33943495,0.1504444,-1.5021976,0.33943495,0.1504444
PGS001804,0.24678285,0.14398362,-0.15027596,0.24678285,0.14398362,-0.15027596
PGS002015,0.18908456,-0.2360771,-0.6875545,0.18908456,-0.2360771,-0.6875545
PGS002242,-2.7538419,-1.6233585,-6.649738,-2.7538419,-1.6233585,-6.649738
PGS002294,1.0874677,1.1062366,-0.17638274,1.0874677,1.1062366,-0.17638274
PGS003380,0.42045408,0.10456893,-1.3115903,0.42045408,0.10456893,-1.3115903
PGS003396,0.24865633,0.47362378,0.17734532,0.24865633,0.47362378,0.17734532
PGS003397,0.85543597,0.20198753,-0.357047,0.85543597,0.20198753,-0.357047
PGS003398,0.512071,0.26724195,-0.12124744,0.512071,0.26724195,-0.12124744
PGS003399,0.36761805,0.32181782,-0.05857289,0.36761805,0.32181782,-0.05857289
PGS003738,-3.4311545,-0.022565693,0.05795519,-3.4311545,-0.022565693,0.05795519
PGS003758,2.3941023,12.759255,-6.8091774,2.3941023,12.759255,-6.8091774
PGS003759,0.75291497,1.2017704,-0.8973583,0.75291497,1.2017704,-0.8973583
PGS003983,0.04136378,-0.23925236,-1.4118652,0.04136378,-0.23925236,-1.4118652
PGS003999,0.3718688,-0.00029565394,-0.2682997,0.3718688,-0.00029565394,-0.2682997
PGS004025,0.17618638,-0.20501888,-1.2836272,0.17618638,-0.20501888,-1.2836272
PGS004040,0.12936956,-0.2202146,-1.3056113,0.12936956,-0.2202146,-1.3056113
PGS004053,0.13408163,-0.23842645,-1.1150403,0.13408163,-0.23842645,-1.1150403
PGS004069,0.11138619,-0.2322695,-1.147305,0.11138619,-0.2322695,-1.147305
PGS004083,0.048119638,-0.29254702,-1.3782927,0.048119638,-0.29254702,-1.3782927
PGS004107,0.62116295,0.24470156,-0.19353206,0.62116295,0.24470156,-0.19353206
PGS004123,0.4819956,0.26016057,-0.16536006,0.4819956,0.26016057,-0.16536006
PGS004137,0.70098495,0.44126323,-1.1387881,0.70098495,0.44126323,-1.1387881
PGS004153,0.08417127,-0.23783568,-1.3945075,0.08417127,-0.23783568,-1.3945075
PGS004166,0.5143037,-0.030599564,-0.3361848,0.5143037,-0.030599564,-0.3361848
PGS004167,0.46769395,-0.01828891,-0.29785326,0.46769395,-0.01828891,-0.29785326
PGS004168,0.53624165,-0.030811623,-0.35176903,0.53624165,-0.030811623,-0.35176903
PGS004169,0.5321318,-0.035999507,-0.3491689,0.5321318,-0.035999507,-0.3491689
PGS004170,0.6169731,-0.019081831,-0.3921141,0.6169731,-0.019081831,-0.3921141
PGS004242,0.48238486,0.3019234,-0.09892486,0.48238486,0.3019234,-0.09892486
PGS004295,-0.46057677,0.37085682,0.039627954,-0.46057677,0.37085682,0.039627954
PGS004296,-0.09026987,0.42957693,0.08404504,-0.09026987,0.42957693,0.08404504
PGS004297,0.11138017,0.28802812,-0.01423578,0.11138017,0.28802812,-0.01423578
PGS004298,0.06929008,0.261027,-0.069012895,0.06929008,0.261027,-0.069012895
PGS004441,0.052710626,-0.33972338,-1.3374938,0.052710626,-0.33972338,-1.3374938
PGS004511,0.057177994,-0.36009917,-1.3170186,0.057177994,-0.36009917,-1.3170186
PGS004579,0.055143837,-0.30359426,-1.3591768,0.055143837,-0.30359426,-1.3591768
PGS004611,6.430841,5.530045,-0.53344005,6.430841,5.530045,-0.53344005
PGS004688,0.0681004,-0.302138,-1.3033023,0.0681004,-0.302138,-1.3033023
PGS004737,-1.2861578,-0.9323442,-3.825846,-1.2861578,-0.9323442,-3.825846
PGS004738,-1.2866699,-0.93281436,-3.8258789,-1.2866699,-0.93281436,-3.8258789
