pgs_id,z1,z2,z3
PGS001336,-0.12094676,-0.11222257,-0.035866406
PGS001337,-0.0419259,-0.11008187,-0.21186247
PGS001778,-0.26080176,-0.8467028,2.2799428
PGS001804,-0.06913159,-0.09488614,-0.011419851
PGS002015,0.28751457,-0.022968844,-0.6039853
PGS002242,3.9777508,-0.55260825,-6.436541
PGS002294,-1.3010957,-0.7940006,-0.91100055
PGS003380,0.30045363,-0.3815384,-1.7343379
PGS003396,-0.24286741,-0.21158443,-0.044464726
PGS003397,-0.21095988,-0.27245057,-0.5589286
PGS003398,-0.2858302,-0.23933761,-0.29313624
PGS003399,-0.29584867,-0.22741495,-0.17249593
PGS003738,-0.5279656,-2.0164769,5.280881
PGS003758,4.320945,-12.903961,-5.0440636
PGS003759,0.1471555,-1.2479026,-0.8852109
PGS003983,0.6727356,-0.16516869,-1.3431195
PGS003999,0.023721404,-0.07320982,-0.13450879
PGS004025,0.54346144,-0.1679009,-1.3054956
PGS004040,0.5887216,-0.15517913,-1.267263
PGS004053,0.49407676,-0.09812008,-1.0439051
PGS004069,0.5368411,-0.1102878,-1.0299995
PGS004083,0.6831987,-0.10525824,-1.2592076
PGS004107,-0.26837832,-0.24904488,-0.38266644
PGS004123,-0.25238606,-0.2505831,-0.2780813
PGS004137,-0.020507596,-0.54326975,-1.7640802
PGS004153,0.64938974,-0.16433714,-1.3584337
PGS004166,-0.036276333,-0.12738945,-0.24745953
PGS004167,-0.03213259,-0.10516678,-0.20953624
PGS004168,-0.040842675,-0.13835327,-0.26269907
PGS004169,-0.03761544,-0.13419275,-0.25362563
PGS004170,-0.077824496,-0.17365251,-0.31932268
PGS004242,-0.3083206,-0.26108932,-0.2783464
PGS004295,-0.13365397,-0.19444557,0.7384949
PGS004296,-0.15018848,-0.12715133,0.31110278
PGS004297,-0.11961476,-0.08809088,0.119679496
PGS004298,-0.114398874,-0.07990822,0.15257569
PGS004441,0.6768164,-0.05571823,-1.1733232
PGS004511,0.6558278,-0.025036559,-1.1645659
PGS004579,0.6716386,-0.09010129,-1.2354752
PGS004611,-5.8029995,-3.7493544,-6.073065
PGS004688,0.6272296,-0.07032211,-1.1857284
PGS004737,2.253038,-0.22846524,-3.7365522
PGS004738,2.2532969,-0.22817893,-3.736047
