epoch,train_loss,val_accuracy
0,0.4201999330197019,0.8609355246523388
1,0.36843165467408573,0.8653603034134008
2,0.343032801787209,0.8994943109987358
3,0.3102669445703728,0.8868520859671302
4,0.2704035762434054,0.8881163084702908
5,0.2748969304328314,0.911504424778761
6,0.2470489188398451,0.9209860935524652
7,0.24111860218185066,0.904551201011378
8,0.22802654436008649,0.8994943109987358
9,0.2165341703033056,0.9279393173198482
10,0.20824576746860538,0.9355246523388117
11,0.19737498421278415,0.9190897597977244
12,0.20080578921720235,0.938685208596713
13,0.1816946079324216,0.9412136536030341
14,0.17662630760995202,0.9405815423514539
15,0.1705292791029382,0.9456384323640961
16,0.17062935166324328,0.9582806573957017
17,0.15840468170342384,0.9519595448798989
18,0.15668255563900627,0.9487989886219975
19,0.15651186999178143,0.9462705436156763
20,0.1569989357846836,0.9374209860935525
21,0.14265203931970954,0.9292035398230089
22,0.14062493536303836,0.9557522123893806
23,0.1300954223431722,0.950063211125158
24,0.1291793155556808,0.9570164348925411
25,0.13282052694344798,0.9601769911504425
26,0.1273376613883584,0.9627054361567636
27,0.11948314607331548,0.9557522123893806
28,0.1196675748162141,0.9532237673830595
29,0.11026537067061666,0.9551201011378002
30,0.114925735925249,0.9525916561314791
31,0.11088311925443416,0.965865992414665
32,0.11496039001021835,0.9570164348925411
33,0.10470912515684361,0.9608091024020228
34,0.10377392097907799,0.9601769911504425
35,0.10133282621297045,0.9690265486725663
36,0.08980746327613062,0.9627054361567636
37,0.09791883226422912,0.9582806573957017
38,0.09494055580874586,0.9677623261694058
39,0.08833272008353496,0.9715549936788875
40,0.09040495349288885,0.9462705436156763
41,0.0841486922957972,0.9778761061946902
42,0.09096376387922168,0.9709228824273072
43,0.08843279621934852,0.9734513274336283
44,0.08741523837494297,0.9715549936788875
45,0.07315024822971529,0.961441213653603
46,0.08065286277761892,0.9753476611883691
47,0.06698465445934386,0.9652338811630847
48,0.07207104095795505,0.9740834386852086
49,0.07001393415166696,0.9734513274336283
